step,epoch,value
0,1,90632496.0
1,1,90564784.0
2,1,90498288.0
3,1,90480592.0
4,1,90490976.0
5,1,90486616.0
6,1,90490816.0
7,1,90485296.0
8,1,90474096.0
9,1,90469712.0
10,1,90454024.0
11,1,90449696.0
12,1,90422368.0
13,1,90430112.0
14,1,90416304.0
15,1,90407920.0
16,1,90401960.0
17,1,90389408.0
18,1,90383616.0
19,1,90377168.0
20,1,90362560.0
21,1,90348680.0
22,1,90354328.0
23,1,90354536.0
24,1,90344672.0
25,1,90345672.0
26,1,90351744.0
27,1,90334528.0
28,1,90324144.0
29,1,90301168.0
30,1,90297904.0
31,1,90265344.0
32,1,90251616.0
33,1,90213048.0
34,1,90179648.0
35,1,90147880.0
36,1,90107808.0
37,1,90046456.0
38,1,90014544.0
39,1,89949184.0
40,1,89910200.0
41,1,89867760.0
42,1,89797504.0
43,1,89728720.0
44,1,89679632.0
45,1,89629792.0
46,1,89568704.0
47,1,89506728.0
48,1,89443096.0
49,1,89406488.0
50,1,89348040.0
51,1,89299368.0
52,1,89258792.0
53,1,89229200.0
54,1,89155872.0
55,1,89115504.0
56,1,89058928.0
57,1,89048400.0
58,1,89020528.0
59,1,88975280.0
60,1,88947456.0
61,1,88936040.0
62,1,88878376.0
63,1,88872920.0
64,1,88840184.0
65,1,88800336.0
66,1,88784864.0
67,1,88739416.0
68,1,88724848.0
69,1,88688336.0
70,1,88640648.0
71,1,88633088.0
72,1,88580752.0
73,1,88588448.0
74,1,88515080.0
75,1,88495528.0
76,1,88479144.0
77,1,88447328.0
78,1,88423776.0
79,1,88393328.0
80,1,88366800.0
81,1,88370352.0
82,1,88306272.0
83,1,88288496.0
84,1,88269104.0
85,1,88270688.0
86,1,88232560.0
87,1,88179552.0
88,1,88210344.0
89,1,88185264.0
90,1,88142048.0
91,1,88139840.0
92,1,88110584.0
93,1,88104568.0
94,1,88097000.0
95,1,88090360.0
96,1,88050088.0
97,1,88021464.0
98,1,88008064.0
99,1,87988320.0
100,1,87979072.0
101,1,87937032.0
102,1,87934096.0
103,1,87936128.0
104,1,87926032.0
105,1,87912000.0
106,1,87908912.0
107,1,87936352.0
108,1,87957152.0
109,1,87980512.0
110,1,87976152.0
111,1,88004808.0
112,1,88026224.0
113,1,88054264.0
114,1,88063032.0
115,1,88072880.0
116,1,88077392.0
117,1,88093880.0
118,1,88098992.0
119,1,88137728.0
120,1,88123312.0
121,1,88144888.0
122,1,88165040.0
123,1,88161280.0
124,1,88196256.0
125,1,88201264.0
126,1,88260512.0
127,1,88270224.0
128,1,88272568.0
129,1,88297824.0
130,1,88269344.0
131,1,88299456.0
132,1,88291104.0
133,1,88280728.0
134,1,88279504.0
135,1,88267064.0
136,1,88272120.0
137,1,88259952.0
138,1,88254464.0
139,1,88261456.0
140,1,88268096.0
141,1,88273872.0
142,1,88250304.0
143,1,88265552.0
144,1,88272208.0
145,1,88254048.0
146,1,88238208.0
147,1,88216600.0
148,1,88255128.0
149,1,88245632.0
150,1,88236832.0
151,1,88235472.0
152,1,88235952.0
153,1,88225912.0
154,1,88213600.0
155,1,88195488.0
156,1,88194912.0
157,1,88195552.0
158,1,88190736.0
159,1,88147008.0
160,1,88153288.0
161,1,88155552.0
162,1,88157848.0
163,1,88171504.0
164,1,88165936.0
165,1,88154232.0
166,1,88172992.0
167,1,88173896.0
168,1,88182336.0
169,1,88222560.0
170,1,88218576.0
171,1,88211216.0
172,1,88234064.0
173,1,88213736.0
174,1,88213296.0
175,1,88204744.0
176,1,88185920.0
177,1,88178600.0
178,1,88184176.0
179,1,88193832.0
180,1,88195104.0
181,1,88182888.0
182,1,88226064.0
183,1,88221840.0
184,1,88197112.0
185,1,88229464.0
186,1,88197888.0
187,1,88211784.0
188,1,88198832.0
189,1,88183480.0
190,1,88183376.0
191,1,88155088.0
192,1,88154688.0
193,1,88140344.0
194,1,88145680.0
195,1,88115152.0
196,1,88144752.0
197,1,88126864.0
198,1,88119952.0
199,1,88095968.0
200,1,88105848.0
201,1,88095632.0
202,1,88087216.0
203,1,88124656.0
204,1,88101456.0
205,1,88087640.0
206,1,88091624.0
207,1,88107896.0
208,1,88107136.0
209,1,88108400.0
210,1,88110584.0
211,1,88091920.0
212,1,88052584.0
213,1,88076752.0
214,1,88053072.0
215,1,88031824.0
216,1,88032592.0
217,1,88031576.0
218,1,88041184.0
219,1,88018160.0
220,1,88041064.0
221,1,88007592.0
222,1,87987904.0
223,1,88001160.0
224,1,88001264.0
225,1,87976880.0
226,1,88021280.0
227,1,87983968.0
228,1,87994872.0
229,1,87985296.0
230,1,87986736.0
231,1,87994048.0
232,1,87965120.0
233,1,87979120.0
234,1,87975952.0
235,1,88008080.0
236,1,87970560.0
237,1,87982096.0
238,1,87965520.0
239,1,87976464.0
240,1,87958848.0
241,1,87940624.0
242,1,87937296.0
243,1,87942112.0
244,1,87956272.0
245,1,87971936.0
246,1,87943600.0
247,1,87957552.0
248,1,87962944.0
249,1,87974384.0
250,1,87953312.0
251,1,87929400.0
252,1,87931792.0
253,1,87927632.0
254,1,87961136.0
255,1,87955184.0
256,1,87953280.0
257,1,87939248.0
258,1,87936336.0
259,1,87956304.0
260,1,87949344.0
261,1,87957520.0
262,1,87962832.0
263,1,87961600.0
264,1,87942776.0
265,1,87946976.0
266,1,87929776.0
267,1,87941576.0
268,1,87926384.0
269,1,87930704.0
270,1,87927408.0
271,1,87899840.0
272,1,87909208.0
273,1,87907304.0
274,1,87873408.0
275,1,87897880.0
276,1,87886256.0
277,1,87878624.0
278,1,87886080.0
279,1,87857920.0
280,1,87865952.0
281,1,87853424.0
282,1,87859344.0
283,1,87852872.0
284,1,87860120.0
285,1,87865088.0
286,1,87871928.0
287,1,87858672.0
288,1,87865952.0
289,1,87872576.0
290,1,87902192.0
291,1,87889552.0
292,1,87886456.0
293,1,87914416.0
294,1,87903280.0
295,1,87910256.0
296,1,87881760.0
297,1,87894336.0
298,1,87888328.0
299,1,87883296.0
300,1,87878752.0
301,1,87869904.0
302,1,87865000.0
303,1,87846552.0
304,1,87862664.0
305,1,87855080.0
306,1,87853744.0
307,1,87828432.0
308,1,87847136.0
309,1,87810304.0
310,1,87813872.0
311,1,87820360.0
312,1,87819504.0
313,1,87802112.0
314,1,87773072.0
315,1,87783112.0
316,1,87787712.0
317,1,87806160.0
318,1,87794752.0
319,1,87827472.0
320,1,87792400.0
321,1,87801104.0
322,1,87810624.0
323,1,87790656.0
324,1,87801072.0
325,1,87805560.0
326,1,87785712.0
327,1,87805760.0
328,1,87799528.0
329,1,87790848.0
330,1,87805392.0
331,1,87814192.0
332,1,87814320.0
333,1,87812032.0
334,1,87815952.0
335,1,87784016.0
336,1,87796112.0
337,1,87756200.0
338,1,87772408.0
339,1,87786120.0
340,1,87781976.0
341,1,87778328.0
342,1,87780320.0
343,1,87771904.0
344,1,87779320.0
345,1,87767544.0
346,1,87747024.0
347,1,87772328.0
348,1,87746360.0
349,1,87745392.0
350,1,87758832.0
351,1,87773904.0
352,1,87773344.0
353,1,87792392.0
354,1,87770608.0
355,1,87768360.0
356,1,87778088.0
357,1,87757192.0
358,1,87757344.0
359,1,87758136.0
360,1,87766768.0
361,1,87767152.0
362,1,87768624.0
363,1,87753680.0
364,1,87747808.0
365,1,87726976.0
366,1,87731656.0
367,1,87724336.0
368,1,87718312.0
369,1,87730360.0
370,1,87711264.0
371,1,87691032.0
372,1,87701296.0
373,1,87685072.0
374,1,87709584.0
375,1,87699632.0
376,1,87672736.0
377,1,87662976.0
378,1,87663296.0
379,1,87655840.0
380,1,87668624.0
381,1,87648496.0
382,1,87652848.0
383,1,87642352.0
384,1,87612312.0
385,1,87614192.0
386,1,87621184.0
387,1,87612728.0
388,1,87599200.0
389,1,87593536.0
390,1,87591200.0
391,1,87587824.0
392,1,87571272.0
393,1,87586712.0
394,1,87611312.0
395,1,87575416.0
396,1,87603392.0
397,1,87587896.0
398,1,87604728.0
399,1,87600128.0
400,1,87580936.0
401,1,87604104.0
402,1,87582800.0
403,1,87593392.0
404,1,87574448.0
405,1,87580672.0
406,1,87583576.0
407,1,87579768.0
408,1,87568368.0
409,1,87553552.0
410,1,87554768.0
411,1,87544344.0
412,1,87517912.0
413,1,87531888.0
414,1,87551440.0
415,1,87528224.0
416,1,87541912.0
417,1,87519944.0
418,1,87509664.0
419,1,87518832.0
420,1,87507760.0
421,1,87509688.0
422,1,87495696.0
423,1,87504352.0
424,1,87488784.0
425,1,87475632.0
426,1,87447072.0
427,1,87453912.0
428,1,87448096.0
429,1,87451296.0
430,1,87446792.0
431,1,87466192.0
432,1,87454296.0
433,1,87455520.0
434,1,87458808.0
435,1,87447728.0
436,1,87455960.0
437,1,87451792.0
438,1,87450008.0
439,1,87442224.0
440,1,87434944.0
441,1,87421264.0
442,1,87444904.0
443,1,87433728.0
444,1,87411984.0
445,1,87433112.0
446,1,87418360.0
447,1,87411360.0
448,1,87431952.0
449,1,87409872.0
450,1,87416528.0
451,1,87419568.0
452,1,87409360.0
453,1,87411368.0
454,1,87414176.0
455,1,87417584.0
456,1,87418592.0
457,1,87399224.0
458,1,87378912.0
459,1,87365536.0
460,1,87367656.0
461,1,87392032.0
462,1,87380528.0
463,1,87369208.0
464,1,87355576.0
465,1,87364824.0
466,1,87357312.0
467,1,87362016.0
468,1,87372536.0
469,1,87366616.0
470,1,87357616.0
471,1,87348240.0
472,1,87355744.0
473,1,87340208.0
474,1,87337904.0
475,1,87324088.0
476,1,87321216.0
477,1,87294224.0
478,1,87286832.0
479,1,87312160.0
480,1,87297072.0
481,1,87270064.0
482,1,87282384.0
483,1,87283216.0
484,1,87306656.0
485,1,87295672.0
486,1,87294560.0
487,1,87249864.0
488,1,87271432.0
489,1,87250896.0
490,1,87251360.0
491,1,87257440.0
492,1,87263496.0
493,1,87241176.0
494,1,87263696.0
